Operation,Avg (ms),Min (ms),Max (ms),Median (ms),StdDev (ms)
Search (Cold Cache),7.2739362716674805,5.816459655761719,15.398025512695312,6.73067569732666,1.710052993027841
Search (Warm Cache),6.647124290466309,5.761861801147461,9.298563003540039,6.386280059814453,0.7422031307974983
Info (Cold Cache),6.900663375854492,5.947589874267578,10.723590850830078,6.361246109008789,1.2098777937500713
Info (Warm Cache),10.39743423461914,8.361101150512695,13.914823532104492,10.010838508605957,1.2257120082274287
Purchase (Write),27.64735221862793,20.84064483642578,38.4526252746582,26.419401168823242,4.511751183241951

Cache Statistics
Metric,Value
Hit Rate (%),96.07
Total Hits,1026
Total Misses,42
Invalidations,31
Search Improvement (%),8.6
Info Improvement (%),-50.7
